"","GENEID","Alignment.x","Rank.x","baseMean.x","Alignment.y","Rank.y","baseMean.y","logMeanExpression","RankDiff","MeanRank","num.trans"
"357","ENSMUSG00000027510","STAR",1265,5667.93418584261,"HISAT2",1240,5534.51354024714,9.04016763324975,25,1252.5,NA
"358","ENSMUSG00000038582","STAR",1309,1934.15974140604,"HISAT2",1284,1911.36780768536,7.96895767765285,25,1296.5,NA
"359","ENSMUSG00000030220","STAR",1318,17721.5057446766,"HISAT2",1293,17118.1813990347,10.1765861680866,25,1305.5,NA
"360","ENSMUSG00000048490","STAR",1338,2411.61466383287,"HISAT2",1313,2388.60696959722,8.19033170484549,25,1325.5,NA
"361","ENSMUSG00000000409","STAR",1340,17116.5105260532,"HISAT2",1315,16660.8984664082,10.1443515554816,25,1327.5,NA
"362","ENSMUSG00000037236","STAR",1350,6236.50605306672,"HISAT2",1325,6167.97449486047,9.1399708355168,25,1337.5,NA
"363","ENSMUSG00000006585","STAR",1363,4636.1011617348,"HISAT2",1338,4545.78381577739,8.84057918539428,25,1350.5,5
"364","ENSMUSG00000035203","STAR",1388,3534.45926778001,"HISAT2",1363,3392.29903180354,8.56228295251836,25,1375.5,NA
"365","ENSMUSG00000020064","STAR",1393,3296.86254564343,"HISAT2",1368,3148.36534721138,8.49106381712398,25,1380.5,11
"366","ENSMUSG00000028796","STAR",1400,4257.83174071315,"HISAT2",1375,4111.73837748587,8.75047730173956,25,1387.5,NA
"367","ENSMUSG00000037876","STAR",1414,6284.44978236775,"HISAT2",1389,6143.52383709452,9.14379575473698,25,1401.5,12
"368","ENSMUSG00000027676","STAR",294,47.2110182074233,"HISAT2",270,46.0412393403439,4.25179889152215,24,282,NA
"369","ENSMUSG00000045349","STAR",380,68.729420932938,"HISAT2",356,66.9653579665498,4.62705006524502,24,368,NA
"370","ENSMUSG00000002083","STAR",446,976.09105901114,"HISAT2",422,958.587386036672,7.2830255790335,24,434,NA
"371","ENSMUSG00000019852","STAR",450,242.615779400299,"HISAT2",426,236.559553359826,5.88858859813489,24,438,2
"372","ENSMUSG00000034792","STAR",460,138.804364589813,"HISAT2",436,136.524809270743,5.33304129789856,24,448,3
"373","ENSMUSG00000021611","STAR",500,285.449545231288,"HISAT2",476,275.838937278014,6.04824417196575,24,488,7
"374","ENSMUSG00000001270","STAR",594,1702.75250074326,"HISAT2",570,1651.19564180585,7.83532232226644,24,582,5
